iter	Passed	Remaining
921	20410	1726
922	20432	1704
923	20443	1681
924	20458	1658
925	20499	1638
926	20515	1615
927	20528	1592
928	20545	1570
929	20566	1547
930	20584	1525
931	20613	1504
932	20635	1481
933	20654	1459
934	20682	1437
935	20702	1415
936	20740	1394
937	20755	1371
938	20777	1349
939	20802	1327
940	20817	1305
941	20833	1282
942	20867	1261
943	20879	1238
944	20894	1216
945	20909	1193
946	20929	1171
947	20945	1148
948	20964	1126
949	20998	1105
950	21019	1083
951	21029	1060
952	21053	1038
953	21067	1015
954	21079	993
955	21092	970
956	21112	948
957	21126	926
958	21147	904
959	21168	882
960	21210	860
961	21254	839
962	21288	817
963	21333	796
964	21364	774
965	21399	753
966	21431	731
967	21467	709
968	21498	687
969	21535	666
970	21598	645
971	21636	623
972	21677	601
973	21732	580
974	21766	558
975	21807	536
976	21830	513
977	21864	491
978	21880	469
979	21897	446
980	21924	424
981	21940	402
982	21961	379
983	22032	358
984	22053	335
985	22068	313
986	22086	290
987	22106	268
988	22123	246
989	22139	223
990	22157	201
991	22245	179
992	22293	157
993	22318	134
994	22351	112
995	22366	89
996	22382	67
997	22415	44
998	22433	22
999	22462	0
